reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
1-067,Chicorée frisée Wallonne,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,
2-217,Chicorée rouge de Trévise Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
1-069,Chicorée rouge de Vérone,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,
2-216,Chicorée rouge de Vérone Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
1-070,Chicorée sauvage Barbe de Capucin,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
1-071,Chicorée sauvage Pain de Sucre,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
2-255,Chicorée sauvage Pain de Sucre Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-035,Chicorée scarole Cornet d'Anjou Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-073,Chicorée scarole Grosse Bouclée 2,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
2-243,Chicorée Variegata di Castelfranco Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-092,Chou brocoli Vert Calabrais,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-039,Chou brocoli violet 'Early Purple Sprouting' Bio,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-252,Chou brocoli violet du Cap Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-046,Chou brocoli-rave 60 jours - Cima di Rapa Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-113,Chou cabus Cabton F1 Bio,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-074,Chou cabus de Brunswick,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
2-036,Chou cabus Filderkraut Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-075,Chou cabus Marché de Copenhague,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
