reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
1-161,Melon Stellio F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-101,Melon Sucrin de Tours Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-413,Melon SuperBall F1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-415,Melon Tamari F1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
2-102,Melon Vert Olive d'Hiver Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
2-103,Melon Vieille France Bio,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-433,Melon Yoga F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-019,Menthe poivrée,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,
2-201,Mertensia maritima BIO - Plante à  huître BIO,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-259,Mizuna Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
4-034,Monnaie du pape,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-162,Moutarde Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-260,Moutarde de Chine Metis Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-440,Moutarde Frizzy Joe,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-181,Moutarde Red Giant Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-405,Navet Alderton F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-105,Navet Blanc Plat Hâtif Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-409,Navet Collie F1,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
1-164,Navet de Croissy,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-163,Navet Globe à  collet violet,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
2-079,Navet Globe à  collet violet Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-106,Navet Goldana Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-166,Navet Jaune Boule d'Or ,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-167,Navet Long Blanc Marteau,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
1-165,Navet Milan à  forcer collet rose,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-168,Navet Nancy à  feuille entière,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
1-169,Navet Noir long,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
2-096,Navet plat de Milan Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-039,Navet rave d'Auvergne hâtif,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-421,Navet Royal Crown F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
4-030,"Nigelle de Damas 'Miss Jekyll', mélange varié Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-019,Oeillet mignardise 'Sweetness',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-171,Oignon blanc de Lisbonne (White Lisbon) Bio,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-171,Oignon blanc de Paris,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,
1-172,Oignon blanc de Vaugirard,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-170,Oignon blanc hâtif de Barletta,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-431,Oignon Cénol (type jaune des Cévennes),,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-444,Oignon colorada de Figueras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-149,Oignon de Mazé Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-173,Oignon géant Ailsa Craig,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-245,Oignon jaune Density 5 (Rijnsburger) Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-176,Oignon jaune doux de Lézignan,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-203,Oignon Musona Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-174,Oignon rouge de Brunswick,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
2-099,Oignon Rouge de Genève Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-175,Oignon rouge long de Florence,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,
2-210,Oignon rouge Tropea Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-091,Oignon Valenciana tardif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-208,Oignon-poireau Ishikura Long White Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-148,Oignon-poireau Long White Koshigaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
2-009,Origan bio,,x,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-020,Oseille Large de Belleville,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,
1-251,Oseille rouge Red Stripe,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x
1-296,Panais Bielas,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-178,Panais Demi-long de Guernesey,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-230,Panais Demi-long de Guernesey Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-265,Panais Mitra,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x
2-108,Panais Tender and True Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-241,Panais White Gem,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-104,Pastèque Crimson Sweet Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-326,Pastèque Janosik,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-109,Pastèque Lune Etoile Bio,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-258,Pastèque Mini Love F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-110,Pastèque Sugar Baby Bio,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-324,Pastèque Zloto Wolicy F1,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-111,Pâtisson blanc bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-318,Pâtisson Gagat,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-319,Pâtisson Jaune,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-320,Pâtisson Orange,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-269,Pâtisson Panaché,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
1-420,Pâtisson verruqueux Disco,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
4-029,Pavot de Californie Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-368,Pepino,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-023,Persil à  grosse racine (ou persil tubéreux),,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-010,Persil Commun 2 Bio,,,,,x,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-021,Persil Frisé Vert Foncé,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,
2-011,Persil Frisé Vert Foncé Bio,,,,,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-022,Persil Géant d'Italie,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,,,,x,,,
2-012,Persil Géant d'Italie Bio,,x,,,x,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
2-013,Persil tubéreux bio,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,
1-180,Phacélie - engrais vert,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,
1-392,Piment Aji Delight,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-182,Piment Anaheim,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-116,Piment Antillais Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-282,Piment Boule de Turquie Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-183,Piment de Cayenne,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,
2-228,Piment de Cayenne Bio,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,
1-274,Piment de Padron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
1-184,Piment Doux des Landes,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-136,Piment Gorria Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-393,Piment Havana Gold,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-346,Piment Hot Lemon,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-395,Piment Hot Thaï,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-316,Piment Hungarian Black,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-370,Piment Hungarian Yellow Wax Hot,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-185,Piment Jalapeno,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-399,Piment Machu Pichu,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-396,Piment Midas,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-423,Piment Orange Pepperoncini,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-186,Piment Serrano,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-394,Piment Spangles,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
2-291,Piment Sucette de Provence Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-398,Piment Trinidad Perfume,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-397,Piment Zimbabwe Black,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-187,Pissenlit amélioré à  coeur plein,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-387,Poireau Albos,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-188,Poireau Armor,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-189,Poireau Bleu de Solaise,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
2-227,Poireau Bleu de Solaise Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-419,Poireau Chef's White,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-135,Poireau Géant d'Hiver 2 Bio,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,
2-264,Poireau jaune gros du Poitou Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-193,Poireau Monstrueux de Carentan,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
2-120,Poireau Monstrueux de Carentan 2 Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-389,Poireau October,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-388,Poireau Titus,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-194,Poirée Blonde à  carde blanche,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
2-242,Poirée Bright Yellow Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-121,Poirée Five Colours Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-380,Poirée Green Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-195,Poirée Jaune,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-196,Poirée Rouge Rhubarb Chard,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-241,Poirée Rouge Rhubarb Chard Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-197,Poirée Verte à  carde blanche,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,x,,,
2-240,Poirée Verte à  carde blanche Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-139,Poirée White Green Ribbed Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-908,Pois à  rames Blauwschokker Bio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
3-600,Pois à  rames Express longue cosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-601,Pois à  rames Serpette Guilloteaux,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-602,Pois à  rames Téléphone ,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-919,Pois chiche bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
3-800,Pois chiche Lambada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-700,Pois croquant Delikett,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
3-703,Pois croquant Jessy,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
4-036,"Pois de senteur Spencer, en mélange ",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
3-701,Pois mangetout Carouby de Maussanne,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-918,Pois mangetout Carouby de Maussanne Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
3-702,Pois mangetout Corne de Bélier,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
3-704,Pois Mangetout Golden Sweet,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-909,Pois mangetout Norli Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
3-506,Pois nain Ambassador,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,
3-500,Pois nain Cash,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-501,Pois nain Douce Provence,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
3-507,Pois nain Eddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
3-508,Pois nain Exzellenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
3-502,Pois nain hâtif d'Annonay,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-503,Pois nain Merveille de Kelvédon,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
3-504,Pois nain Petit Provenà§al,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
2-913,Pois nain Progress 9 Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-912,Pois nain Rondo Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-289,Poivron Cubo orange Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-363,Poivron Balconi F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-358,Poivron Barbados F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-357,Poivron Brandy Red F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-340,Poivron Cardinal,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-051,Poivron Caviar Calabrais Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-132,Poivron Chocolat Doux Bio (Sweet Chocolate),,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-417,Poivron Confetti F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-447,Poivron Conored F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-445,Poivron Conyl F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-123,Poivron Corno di toro jaune Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-124,Poivron Corno di toro rouge Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-446,Poivron Coronor F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-198,Poivron Doux d'Espagne,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-337,Poivron Etiuda,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-455,Poivron Friariello Napoletano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-333,Poivron Garnet F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-331,Poivron Ingrid,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-356,Poivron Kobold F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-199,Poivron Lamuyo F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-354,Poivron Lemon Dream,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-125,Poivron Mandarine Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-339,Poivron Marta Polka,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-330,Poivron Monanta,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-297,Poivron Oda,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-332,Poivron Ontara,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-201,Poivron Orange Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-334,Poivron Ornela,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-441,Poivron Peleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-281,Poivron Petit Marseillais Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-275,Poivron Piquillo de Lodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
1-205,Poivron Purple Bell,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-131,Poivron Quadrato d'Asti rouge Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-338,Poivron Rewia,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-042,Poivron Roberta F1,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-329,Poivron Sakura,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-382,Poivron Samson F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-416,Poivron Stuff Enuff F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-203,Poivron Sweet Banana,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-359,Poivron Takila F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-355,Poivron Tangerine Dream,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-118,Poivron Tequila Sunrise Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-362,Poivron Terrazzi F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-138,Poivron Tomate Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-336,Poivron Topgirl,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-204,Poivron Twingo F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-126,Poivron Yolo Wonder Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-335,Poivron Zorza,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
0-401,Porte-greffe Arnold F1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
0-403,Porte-greffe Bowman (ex-Groundforce) F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0-411,Porte-greffe Magnus F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-404,Porte-greffe Protector F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-406,Porte-greffe Routpower F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0-408,Porte-greffe STT3 F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0-405,Porte-greffe Superpro F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0-407,Porte-greffe Ultron F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-246,Potimarron Fictor bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-280,Potimarron Orange Summer F1 Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-129,Potimarron Red Kuri bio,,x,,,,x,,,x,,,,,,,,,,,,,x,,,x,,,,,,x,,,,
2-247,Potimarron Solor bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-207,Potimarron Uchiki Kuri,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
1-206,Potiron Atlantic Giant,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-377,Potiron Bambino,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-127,Potiron bleu de Hongrie bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-128,Potiron doux vert d'Hokkaido bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-073,Potiron Flat White Boer Bio,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,x
2-130,Potiron galeux d'Eysines bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-259,Potiron Jarradahle,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x
1-364,Potiron Karowita Bis,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-063,Potiron Marina di Chioggia bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-133,Potiron rouge vif d'Etampes bio,,,,,,,,,,,x,,,,x,,,,,,,x,,,x,,,,,,x,,,,
1-232,"Prairie fleurie ""Coccinelles & Auxiliaires""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
2-277,"Prairie Fleurie ""Fleurs compagnes au Potager"" Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
2-276,"Prairie Fleurie ""Fleurs en cuisine"" Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-233,"Prairie fleurie ""Jardin de Curé""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
2-278,"Prairie Fleurie ""Mélange Pollinisation"" Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-234,"Prairie fleurie ""Miellée Annuelles et Vivaces""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-235,"Prairie fleurie ""Miellée Vivace""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-236,"Prairie fleurie ""Oiseaux""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-240,"Prairie fleurie ""Papillons""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-237,"Prairie fleurie ""Pied de mur""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-238,"Prairie fleurie ""Zone Aride""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-239,"Prairie fleurie ""Zone Ombrée""",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-432,Radis Angelus,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-267,Radis Bacchus F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-209,Radis Chandelle de Glace,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
1-210,Radis de 18 jours,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
2-134,Radis de 18 jours Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-211,Radis Flamboyant 3,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
1-379,Radis Green Luobo,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
1-215,Radis jaune Zlata,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-408,Radis KN Bravo F1,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
1-438,Radis Largo de Mallorca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-267,Radis Minowase Daikon Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-216,Radis Noir gros rond d'hiver,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,
1-217,Radis Noir long poids d'horloge,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-208,Radis Pernot clair,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
2-137,Radis Raxe Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-378,Radis Red Meat,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-253,Radis rond à  petit bout blanc Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-212,Radis Rond Fakir,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-213,Radis Rond National,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-219,Radis Rose de Chine,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
