ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
1092,,353,Ananas,Plant de ,353Ananas,Plant de Melon Ananas,,10415,10515,79,0.00,2.80,0.20,3701450218928,Nos plants potagers en godet de Melon Ananas - La Bonne Graine
1201,,353,Stellio F1 ,Plant de ,353Stellio F1 ,Plant de Melon Stellio F1 ,,10415,10515,79,0.00,2.90,0.20,3701450218997,Nos plants potagers en godet de Melon Stellio F1  - La Bonne Graine
3325,,353,Mangomel F1 ,Plant de ,353Mangomel F1 ,Plant de Melon Mangomel F1 ,,10415,10515,79,0.00,2.90,0.20,3701450219024,Nos plants potagers en godet de Melon Mangomel F1  - La Bonne Graine
1251,,353,Pastèque Lune Etoile Bio ,Plant de ,Pastèque Lune Etoile Bio ,Plant de Pastèque Lune Etoile Bio ,,54,10515,79,0.00,2.90,0.20,3701450219055,Nos plants potagers en godet de Pastèque Lune Etoile Bio  - La Bonne Graine
1801,,353,Pastèque Janosik ,Plant de ,Pastèque Janosik ,Plant de Pastèque Janosik ,,10415,10515,79,0.00,2.80,0.20,3701450219086,Nos plants potagers en godet de Pastèque Janosik  - La Bonne Graine
1817,,353,Pastèque Crimson Sweet Bio ,Plant de ,Pastèque Crimson Sweet Bio ,Plant de Pastèque Crimson Sweet Bio ,,54,10515,79,0.00,2.90,0.20,3701450219352,Nos plants potagers en godet de Pastèque Crimson Sweet Bio  - La Bonne Graine
3534,,353,Pastèque Nanoor F1,Plant de ,Pastèque Nanoor F1,Plant de Pastèque Nanoor F1,,10415,10515,79,0.00,2.90,0.20,3701450219543,Nos plants potagers en godet de Pastèque Nanoor F1 - La Bonne Graine
880,,354,Pâtisson blanc Bio ,Plant de ,Pâtisson blanc Bio ,Plant de Pâtisson blanc Bio ,,54,10515,79,0.00,2.90,0.20,3701450219604,Nos plants potagers en godet de Pâtisson blanc Bio  - La Bonne Graine
1787,,354,Pâtisson Gagat ,Plant de ,Pâtisson Gagat ,Plant de Pâtisson Gagat ,,10415,10515,79,0.00,2.80,0.20,3701450219611,Nos plants potagers en godet de Pâtisson Gagat  - La Bonne Graine
1788,,354,Pâtisson Jaune ,Plant de ,Pâtisson Jaune ,Plant de Pâtisson Jaune ,,10415,10515,79,0.00,2.80,0.20,3701450219703,Nos plants potagers en godet de Pâtisson Jaune  - La Bonne Graine
1789,,354,Pâtisson Orange ,Plant de ,Pâtisson Orange ,Plant de Pâtisson Orange ,,10415,10515,79,0.00,2.80,0.20,3701450219864,Nos plants potagers en godet de Pâtisson Orange  - La Bonne Graine
146,,355,de Cayenne,Plant de ,355de Cayenne,Plant de Piment de Cayenne,Traditionnel,10415,10515,21,0.56,2.80,0.20,3701450219871,Nos plants potagers en godet de Piment de Cayenne - La Bonne Graine
1108,,355,Habanero Red,Plant de ,355Habanero Red,Plant de Piment Habanero Red,Traditionnel,10415,10515,21,0.87,2.80,0.20,3701450219888,Nos plants potagers en godet de Piment Habanero Red - La Bonne Graine
1794,,355,Gorria,Plant de ,355Gorria,Plant de Piment Gorria,Traditionnel,10415,10515,21,0.83,2.80,0.20,3701450219895,Nos plants potagers en godet de Piment Gorria - La Bonne Graine
2890,,355,Doux des Landes Bio,Plant de ,355Doux des Landes Bio,Plant de Piment Doux des Landes Bio,Traditionnel,54,10515,21,0.84,2.90,0.20,3701450219901,Nos plants potagers en godet de Piment Doux des Landes Bio - La Bonne Graine
3837,,355,Button Red,Plant de ,355Button Red,Plant de Piment Button Red,Traditionnel,10415,10515,21,0.94,2.90,0.20,3701450219918,Nos plants potagers en godet de Piment Button Red - La Bonne Graine
3838,,355,Button Yellow,Plant de ,355Button Yellow,Plant de Piment Button Yellow,Traditionnel,10415,10515,21,0.94,2.80,0.20,3701450219925,Nos plants potagers en godet de Piment Button Yellow - La Bonne Graine
150,,355,Lamuyo F1 Bio,Plant de ,355Lamuyo F1 Bio,Plant de Poivron Lamuyo F1 Bio,Hybride,54,10515,21,0.69,2.90,0.20,3701450219932,Nos plants potagers en godet de Poivron Lamuyo F1 Bio - La Bonne Graine
1562,,355,Chocolat Doux Bio (Sweet Chocolate) ,Plant de ,355Chocolat Doux Bio (Sweet Chocolate) ,Plant de Poivron Chocolat Doux Bio (Sweet Chocolate) ,Traditionnel,54,10515,79,0.77,2.80,0.20,3701450219949,Nos plants potagers en godet de Poivron Chocolat Doux Bio (Sweet Chocolate)  - La Bonne Graine
1786,,355,Oda ,Plant de ,355Oda ,Plant de Poivron Oda ,Traditionnel,10415,10515,79,0.77,2.80,0.20,3701450219956,Nos plants potagers en godet de Poivron Oda  - La Bonne Graine
1832,,355,Quadrato d'Asti rouge Bio,Plant de ,355Quadrato d'Asti rouge Bio,Plant de Poivron Quadrato d'Asti rouge Bio,Traditionnel,54,10515,79,0.77,2.90,0.20,3701450219963,Nos plants potagers en godet de Poivron Quadrato d'Asti rouge Bio - La Bonne Graine
1847,,355,Rewia ,Plant de ,355Rewia ,Plant de Poivron Rewia ,Traditionnel,10415,10515,79,0.77,2.80,0.20,3701450219970,Nos plants potagers en godet de Poivron Rewia  - La Bonne Graine
2338,,355,Coronor Orange F1,Plant de ,355Coronor Orange F1,Plant de Poivron Coronor Orange F1,Hybride,10415,10515,21,01.08,2.90,0.20,3701450219987,Nos plants potagers en godet de Poivron Coronor Orange F1 - La Bonne Graine
2339,,355,Conored F1,Plant de ,355Conored F1,Plant de Poivron Conored F1,Hybride,10415,10515,21,0.87,2.90,0.20,3701450219994,Nos plants potagers en godet de Poivron Conored F1 - La Bonne Graine
